2/8/14

OnOff	Pump	Heat	air	setPt	T1	T2	T3	pres	ampH	ampP	ampB	HtrChngTm
1	00	000	00	100	99.61	99.61	0.00	0.00	0.00	0.00	0.00	292
1	00	000	00	100	99.61	99.61	0.00	0.00	0.00	0.00	0.00	293
1	00	000	00	100	99.61	99.50	0.00	0.00	0.00	0.00	0.00	294
1	00	000	00	100	99.61	99.50	0.00	0.00	0.00	0.00	0.00	295
1	00	000	00	100	99.61	99.50	0.00	0.00	0.00	0.00	0.00	296
1	00	000	00	100	99.61	99.50	0.00	0.00	0.00	0.00	0.00	297
1	00	000	00	100	99.61	99.50	0.00	0.00	0.00	0.00	0.00	298
1	00	110	00	100	99.56	99.50	0.00	0.00	0.00	0.00	0.00	299
1	01	000	00	100	99.61	99.50	0.00	13.56	0.00	11.03	0.00	300
1	00	110	00	100	99.50	99.50	0.00	3.08	0.00	1.60	0.00	301
1	00	110	00	100	99.56	99.50	0.00	0.00	0.00	0.00	0.00	302
1	00	110	00	100	99.56	99.50	0.00	0.00	0.00	0.00	0.00	303
1	00	000	00	100	99.61	99.50	0.00	0.00	0.00	0.00	0.00	304
